Nama Restoran,Preferensi Makanan,Lokasi Restoran,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Jenis Suasana,Toko Sering Diskon (Ya/Tidak),Variasi Makanan,Pelayanan Khusus Pasangan (Ya/Tidak),Entertainment,Keramaian Restoran,Disajikan atau Ambil Sendiri,All You Can Eat atau Ala Carte,Latitude,Longitude
"Mie Bandung Chinese Food, Ngampilan",Chinese,3.23 km,39000,4.7,Santai,Tidak,"Bakmie, Aneka nasi, Chinese",Tidak,3,3,Disajikan,Ala Carte,-7.79836453,110.3625054
"Soto Tauco Pekalongan Bu Iswi, Jalan Bimokurdo No.46, Gondokusuman, Demangan",Indonesia,3.01 km,19000,3.7,Santai,Tidak,"Bakso & soto, Cepat saji, Minuman",Tidak,2,2,Disajikan,Ala Carte,-7.820074291,110.3876846
"Spesial Bakso Pak Jum Balai Kota, Umbulharjo",Indonesia,1.44 km,18000,3.6,Santai,Tidak,"Bakso & soto, Jajanan, Minuman",Tidak,2,2,Disajikan,Ala Carte,-7.9903424,110.6403779
Soto Ayam Kampung Dan Soto Daging Sapi Pak Ben,Indonesia,0.83 km,22000,3.8,Santai,Tidak,"Bakso & soto, Minuman",Tidak,1,2,Disajikan,Ala Carte,-7.810147665,110.3800884
Toba Tabo,Chinese,2.13 km,40000,4.7,Santai,Tidak,"Cepat saji, Bakmie, Chinese",Tidak,1,3,Disajikan,Ala Carte,-7.794417788,110.3930015
"Sop Ayam Klaten, Mantrijeron",Indonesia,3.1 km,16000,4.4,Santai,Tidak,"Cepat saji, Minuman, Bakso & soto",Tidak,4,3,Disajikan,Ala Carte,-7.808428693,110.3609423
"Legend Coffee, Yogyakarta",Western,3.21 km,37000,4.3,Santai,Tidak,"Chicken & duck, Beverages, Pizza & pasta, Coffee, Rice, Noodles, Western",Tidak,2,1,Disajikan,Ala Carte,-7.786238719,110.3725166
"Martabak Okonomiyaki BAMLY, Sonopakis",Japanese,5.58 km,25000,4.6,Santai,Ya,"Chicken & duck, Japanese, Martabak",Tidak,2,3,Disajikan,Ala Carte,-7.803018773,110.3379897
"Nasi Goreng Gemilang, Gedongkuning",Chinese,1.97 km,19000,4.7,Santai,Ya,Chinese,Tidak,3,2,Disajikan,Ala Carte,-7.803073773,110.4023989
"Restoran Mahkota (Tiong San), Pajeksan",Chinese,3.17 km,132000,4.7,Santai,Tidak,"Chinese, Ayam & bebek, Aneka nasi, Bakmie",Tidak,3,1,Disajikan,Ala Carte,-7.795934794,110.3641479
"Curryin, Perumnas",Japanese,5.8 km,42000,4.6,Santai,Tidak,Japanese,Tidak,2,1,Disajikan,Ala Carte,-7.767306345,110.4119962
"Marugame Udon, Hartono Mall Jogja",Japanese,6.02 km,68000,4.8,Formal,Tidak,Japanese,Tidak,1,1,Disajikan,Ala Carte,-7.760104119,110.399021
"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo",Japanese,4.89 km,64000,4.7,Formal,Tidak,"Japanese, Fast food, Chicken & duck, Rice",Tidak,2,3,Disajikan,Ala Carte,-7.782857842,110.4097511
"Sushi Battousai, Suryodiningratan",Japanese,3.31 km,32000,4.5,Formal,Tidak,"Japanese, Snacks, Chinese",Tidak,1,2,Disajikan,Ala Carte,-7.798809971,110.3835872
"Mochi Sakura, Plaza Ambarukmo",Japanese,3.73 km,41000,4.2,Santai,Ya,"Japanese, Snacks, Sweets",Tidak,4,1,Disajikan,Ala Carte,-7.781558131,110.4014265
"Soto Pak Zaenal Barokah, Warungboto Umbulharjo",Indonesia,0.65 km,15000,4.5,Santai,Tidak,"Minuman, Bakso & soto",Tidak,4,2,Disajikan,Ala Carte,-7.807268946,110.3898147
"Warung Lawas, Prawirotaman",Western,1.9 km,41000,4.7,Santai,Tidak,"Pizza & pasta, Chicken & duck, Western, Rice, Beverages, Snacks, Sweets, Fast food, Bakery, Bakso & soto, Noodles, Coffee",Tidak,3,2,Disajikan,Ala Carte,-7.819853924,110.3720155
"Mediterranea Restaurant by Kamil, Matrijeron",Western,2.61 km,76000,4.8,Santai,Tidak,"Pizza & pasta, Western",Tidak,1,2,Disajikan,Ala Carte,-7.818300265,110.3645276
"Rustik Bistro & Bar, Hotel Harper Malioboro Yogyakarta",Western,3.92 km,32000,3.8,Formal,Tidak,"Rice, Beverages, Western",Tidak,2,3,Disajikan,Ala Carte,-7.784683563,110.3679658
"Gyudel Bowl & Nasi Goreng, Depok",Japanese,5.2 km,29000,4.7,Formal,Tidak,"Rice, Fast food, Japanese",Tidak,2,1,Disajikan,Ala Carte,-7.767217263,110.3993669
"Sushi Story, Gejayan",Japanese,5.76 km,62000,4.6,Formal,Tidak,"Seafood, Japanese",Tidak,2,3,Disajikan,Ala Carte,-7.760284305,110.3944373
"Burgerax, Imogiri Timur",Western,3.24 km,38000,4.6,Santai,Tidak,"Snacks, Western, Fast food",Tidak,4,2,Disajikan,Ala Carte,-7.841510665,110.3914371
"Pulung Steak & Ribs, Catur Tunggal",Western,3.64 km,43000,4.6,Santai,Ya,Western,Tidak,1,3,Disajikan,Ala Carte,-7.779913761,110.3888126
"Burger Bangor Express, Bantul",Western,4.22 km,40000,4.8,Santai,Tidak,"Western, Fast food, Chicken & duck",Tidak,3,1,Disajikan,Ala Carte,-7.816638227,110.3518329
"BurgeriOr, Tempel",Western,4.12 km,40000,4.7,Santai,Ya,"Western, Fast food, Snacks",Tidak,3,2,Disajikan,Ala Carte,-7.662380416,110.4122599
